category,code,orgId,pinyin,zwjc
A股,000001,gssz0000001,payh,平安银行
A股,000002,gssz0000002,wka,万科A
A股,000004,gssz0000004,stgh,ST国华
A股,000005,gssz0000005,stxy,ST星源
A股,000006,gssz0000006,szya,深振业A
A股,000007,gssz0000007,qxh,全新好
A股,000008,gssz0000008,szgt,神州高铁
A股,000009,gssz0000009,zgba,中国宝安
A股,000010,gssz0000010,mlst,美丽生态
A股,000011,gssz0000011,swya,深物业A
A股,000012,gssz0000012,nba,南玻A
A股,000014,gssz0000014,shgf,沙河股份
A股,000016,gssz0000016,skja,深康佳A
A股,000017,gssz0000017,szha,深中华A
A股,000019,gssz0000019,slkg,深粮控股
A股,000020,gssz0000020,shfa,深华发A
A股,000021,gssz0000021,skj,深科技
A股,000023,gssz0000023,stda,深天地A
A股,000025,gssz0000025,tla,特力A
A股,000026,gssz0000026,fyd,飞亚达
A股,000027,gssz0000027,szny,深圳能源
A股,000028,gssz0000028,gyyz,国药一致
A股,000029,gssz0000029,ssfa,深深房A
A股,000030,gssz0000030,fagf,富奥股份
A股,000031,gssz0000031,dyc,大悦城
A股,000032,gssz0000032,ssda,深桑达A
A股,000034,gssz0000034,szsm,神州数码
A股,000035,gssz0000035,zgty,中国天楹
A股,000036,gssz0000036,hlkg,华联控股
A股,000037,gssz0000037,snda,深南电A
A股,000038,gssz0000038,stdt,*ST大通
A股,000039,gssz0000039,zjjt,中集集团
A股,000040,gssz0000040,dxlt,东旭蓝天
A股,000042,gssz0000042,zzkg,中洲控股
A股,000045,gssz0000045,sfza,深纺织A
A股,000046,gssz0000046,fhkg,泛海控股
A股,000048,gssz0000048,jjzn,京基智农
A股,000049,gssz0000049,dsdc,德赛电池
A股,000050,gssz0000050,stma,深天马A
A股,000055,gssz0000055,fdjt,方大集团
A股,000056,gssz0000056,htgj,皇庭国际
A股,000058,gssz0000058,ssg,深赛格
A股,000059,gssz0000059,hjgf,华锦股份
A股,000060,gssz0000060,zjln,中金岭南
A股,000061,gssz0000061,ncp,农产品
A股,000062,gssz0000062,szhq,深圳华强
A股,000063,gssz0000063,zxtx,中兴通讯
A股,000065,gssz0000065,bfgj,北方国际
A股,000066,gssz0000066,zgcc,中国长城
A股,000068,gssz0000068,hksg,华控赛格
A股,000069,gssz0000069,hqca,华侨城A
A股,000070,gssz0000070,tfxx,特发信息
A股,000078,gssz0000078,hwsw,海王生物
A股,000088,gssz0000088,ytg,盐田港
A股,000089,gssz0000089,szjc,深圳机场
A股,000090,gssz0000090,tjjt,天健集团
A股,000096,gssz0000096,gjny,广聚能源
A股,000099,gssz0000099,zxhz,中信海直
A股,000100,gssz0000100,tclkj,TCL科技
A股,000150,gssz0000150,styk,*ST宜康
A股,000151,gssz0000151,zcgf,中成股份
A股,000153,gssz0000153,fyyy,丰原药业
A股,000155,gssz0000155,cndl,川能动力
A股,000156,gssz0000156,hscm,华数传媒
A股,000157,gssz0000157,zlzk,中联重科
A股,000158,gssz0000158,csbm,常山北明
A股,000159,gssz0000159,gjsy,国际实业
A股,000166,qsgn0000301,swhy,申万宏源
A股,000301,gssz0000301,dfsh,东方盛虹
A股,000333,9900005965,mdjt,美的集团
A股,000338,9900002961,wcdl,潍柴动力
A股,000400,gssz0000400,xjdq,许继电气
A股,000401,gssz0000401,jdsn,冀东水泥
A股,000402,gssz0000402,jrj,金融街
A股,000403,gssz0000403,plsw,派林生物
A股,000404,gssz0000404,chhy,长虹华意
A股,000407,gssz0000407,slgf,胜利股份
A股,000408,gssz0000408,zgky,藏格矿业
A股,000409,gssz0000409,ydkj,云鼎科技
A股,000410,gssz0000410,stsj,*ST沈机
A股,000411,gssz0000411,ytjt,英特集团
A股,000413,gssz0000413,dxgd,东旭光电
A股,000415,gssz0000415,bhzl,渤海租赁
A股,000416,gssz0000416,mskg,民生控股
A股,000417,gssz0000417,hfbh,合肥百货
A股,000419,gssz0000419,tckg,通程控股
A股,000420,gssz0000420,jlhx,吉林化纤
A股,000421,gssz0000421,njgy,南京公用
A股,000422,gssz0000422,hbyh,湖北宜化
A股,000423,gssz0000423,deej,东阿阿胶
A股,000425,gssz0000425,xgjx,徐工机械
A股,000426,gssz0000426,xyky,兴业矿业
A股,000428,gssz0000428,htjd,华天酒店
A股,000429,gssz0000429,ygsa,粤高速A
A股,000430,gssz0000430,zjj,张家界
A股,000488,gssz0000488,cmzy,晨鸣纸业
A股,000498,gssz0000498,sdlq,山东路桥
A股,000501,gssz0000501,wsjt,武商集团
A股,000503,gssz0000503,gxjk,国新健康
A股,000504,gssz0000504,nhsw,南华生物
A股,000505,gssz0000505,jlkg,京粮控股
A股,000506,gssz0000506,zrzy,中润资源
A股,000507,gssz0000507,zhg,珠海港
A股,000509,gssz0000509,hskg,华塑控股
A股,000510,gssz0000510,xjl,新金路
A股,000513,gssz0000513,lzjt,丽珠集团
A股,000514,gssz0000514,ykf,渝开发
A股,000516,gssz0000516,gjyx,国际医学
A股,000517,gssz0000517,radc,荣安地产
A股,000518,gssz0000518,shsw,四环生物
A股,000519,gssz0000519,zbhj,中兵红箭
A股,000520,gssz0000520,chfh,长航凤凰
A股,000521,gssz0000521,chml,长虹美菱
A股,000523,gssz0000523,gzlq,广州浪奇
A股,000524,gssz0000524,lnkg,岭南控股
A股,000525,gssz0000525,sthty,ST红太阳
A股,000526,gssz0000526,xdjy,学大教育
A股,000528,gssz0000528,lg,柳工
A股,000529,gssz0000529,ghkg,广弘控股
A股,000530,gssz0000530,bslr,冰山冷热
A股,000531,gssz0000531,shya,穗恒运A
A股,000532,gssz0000532,hjzb,华金资本
A股,000533,gssz0000533,sngf,顺钠股份
A股,000534,gssz0000534,wzgf,万泽股份
A股,000536,gssz0000536,hykj,华映科技
A股,000537,gssz0000537,gyfz,广宇发展
A股,000538,gssz0000538,ynby,云南白药
A股,000539,gssz0000539,ydla,粤电力A
A股,000540,gssz0000540,ztjr,中天金融
A股,000541,gssz0000541,fszm,佛山照明
A股,000543,gssz0000543,wndl,皖能电力
A股,000544,gssz0000544,zyhb,中原环保
A股,000545,gssz0000545,jpty,金浦钛业
A股,000546,gssz0000546,jygf,金圆股份
A股,000547,gssz0000547,htfz,航天发展
A股,000548,gssz0000548,hntz,湖南投资
A股,000550,gssz0000550,jlqc,江铃汽车
A股,000551,gssz0000551,cykj,创元科技
A股,000552,gssz0000552,jymd,靖远煤电
A股,000553,gssz0000553,adma,安道麦A
A股,000554,gssz0000554,tssy,泰山石油
A股,000555,gssz0000555,szxx,神州信息
A股,000557,gssz0000557,xbcy,西部创业
A股,000558,gssz0000558,lyty,莱茵体育
A股,000559,gssz0000559,wxqc,万向钱潮
A股,000560,gssz0000560,wawj,我爱我家
A股,000561,gssz0000561,fhdz,烽火电子
A股,000563,gssz0000563,sgta,陕国投A
A股,000564,gssz0000564,stdj,ST大集
A股,000565,gssz0000565,ysxa,渝三峡A
A股,000566,gssz0000566,hnhy,海南海药
A股,000567,gssz0000567,hdgf,海德股份
A股,000568,gssz0000568,lzlj,泸州老窖
A股,000570,gssz0000570,scca,苏常柴A
A股,000571,gssz0000571,stdz,ST大洲
A股,000572,gssz0000572,hmqc,海马汽车
A股,000573,gssz0000573,yhya,粤宏远A
A股,000576,gssz0000576,ghkg,甘化科工
A股,000581,gssz0000581,wfgk,威孚高科
A股,000582,gssz0000582,bbwg,北部湾港
A股,000584,gssz0000584,hgzn,哈工智能
A股,000586,gssz0000586,hytx,汇源通信
A股,000587,gssz0000587,stjz,*ST金洲
A股,000589,gssz0000589,gzlt,贵州轮胎
A股,000590,gssz0000590,qdyy,启迪药业
A股,000591,gssz0000591,tyn,太阳能
A股,000592,gssz0000592,ptfz,平潭发展
A股,000593,gssz0000593,dlhn,德龙汇能
A股,000595,gssz0000595,btsy,宝塔实业
A股,000596,gssz0000596,gjgj,古井贡酒
A股,000597,gssz0000597,dbzy,东北制药
A股,000598,gssz0000598,xrhj,兴蓉环境
A股,000599,gssz0000599,qdsx,青岛双星
A股,000600,gssz0000600,jtny,建投能源
A股,000601,gssz0000601,sngf,韶能股份
A股,000603,gssz0000603,sdzy,盛达资源
A股,000605,gssz0000605,bhgf,渤海股份
A股,000606,gssz0000606,stsl,*ST顺利
A股,000607,gssz0000607,hmkg,华媒控股
A股,000608,gssz0000608,yggf,阳光股份
A股,000609,gssz0000609,zdtz,中迪投资
A股,000610,gssz0000610,xaly,西安旅游
A股,000612,gssz0000612,jzwf,焦作万方
A股,000615,gssz0000615,aymg,奥园美谷
A股,000616,gssz0000616,stht,ST海投
A股,000617,gssz0000617,zyzb,中油资本
A股,000619,gssz0000619,hlxc,海螺新材
A股,000620,gssz0000620,xhl,新华联
A股,000622,gssz0000622,hlsy,恒立实业
A股,000623,gssz0000623,jlad,吉林敖东
A股,000625,gssz0000625,caqc,长安汽车
A股,000626,gssz0000626,ydkg,远大控股
A股,000627,gssz0000627,tmjt,天茂集团
A股,000628,gssz0000628,gxfz,高新发展
A股,000629,gssz0000629,ftgf,钒钛股份
A股,000630,gssz0000630,tlys,铜陵有色
A股,000631,gssz0000631,sfhy,顺发恒业
A股,000632,gssz0000632,smjt,三木集团
A股,000633,gssz0000633,hjtz,合金投资
A股,000635,gssz0000635,ylt,英力特
A股,000636,gssz0000636,fhgk,风华高科
A股,000637,gssz0000637,mhsh,茂化实华
A股,000638,gssz0000638,wffz,万方发展
A股,000639,gssz0000639,xwsp,西王食品
A股,000650,gssz0000650,rhyy,仁和药业
A股,000651,gssz0000651,gldq,格力电器
A股,000652,gssz0000652,tdgf,泰达股份
A股,000655,gssz0000655,jlky,金岭矿业
A股,000656,gssz0000656,jkgf,金科股份
A股,000657,gssz0000657,zwgx,中钨高新
A股,000659,gssz0000659,zhzf,珠海中富
A股,000661,gssz0000661,ccgx,长春高新
A股,000663,gssz0000663,yaly,永安林业
A股,000665,gssz0000665,hbgd,湖北广电
A股,000666,gssz0000666,jwfj,经纬纺机
A股,000667,gssz0000667,mhzy,美好置业
A股,000668,gssz0000668,rfkg,荣丰控股
A股,000669,gssz0000669,stjh,ST金鸿
A股,000670,gssz0000670,yfw,盈方微
A股,000671,gssz0000671,ygc,阳光城
A股,000672,gssz0000672,sfsn,上峰水泥
A股,000676,gssz0000676,zdgf,智度股份
A股,000677,gssz0000677,hthl,恒天海龙
A股,000678,gssz0000678,xyzc,襄阳轴承
A股,000679,gssz0000679,dlyy,大连友谊
A股,000680,gssz0000680,stgf,山推股份
A股,000681,gssz0000681,sjzg,视觉中国
A股,000682,gssz0000682,dfdz,东方电子
A股,000683,gssz0000683,yxny,远兴能源
A股,000685,gssz0000685,zsgy,中山公用
A股,000686,gssz0000686,dbzq,东北证券
A股,000688,gssz0000688,gcky,国城矿业
A股,000690,gssz0000690,bxny,宝新能源
A股,000691,gssz0000691,ytsy,亚太实业
A股,000692,gssz0000692,htrd,惠天热电
A股,000695,gssz0000695,bhny,滨海能源
A股,000697,gssz0000697,lshk,炼石航空
A股,000698,gssz0000698,syhg,沈阳化工
A股,000700,gssz0000700,mskj,模塑科技
A股,000701,gssz0000701,xmxd,厦门信达
A股,000702,gssz0000702,zhkj,正虹科技
A股,000703,gssz0000703,hysh,恒逸石化
A股,000705,gssz0000705,zjzy,浙江震元
A股,000707,gssz0000707,shkj,双环科技
A股,000708,gssz0000708,zxtg,中信特钢
A股,000709,gssz0000709,hggf,河钢股份
A股,000710,gssz0000710,brjy,贝瑞基因
A股,000711,gssz0000711,jlkj,京蓝科技
A股,000712,gssz0000712,jlgf,锦龙股份
A股,000713,gssz0000713,flzy,丰乐种业
A股,000715,gssz0000715,zxsy,中兴商业
A股,000716,gssz0000716,hzm,黑芝麻
A股,000717,gssz0000717,sgss,韶钢松山
A股,000718,gssz0000718,snhq,苏宁环球
A股,000719,gssz0000719,zycm,中原传媒
A股,000720,gssz0000720,xnts,新能泰山
A股,000721,gssz0000721,xays,西安饮食
A股,000722,gssz0000722,hnfz,湖南发展
A股,000723,gssz0000723,mjny,美锦能源
A股,000725,gssz0000725,jdfa,京东方A
A股,000726,gssz0000726,lta,鲁泰A
A股,000727,gssz0000727,gjkj,冠捷科技
A股,000728,gssz0000728,gyzq,国元证券
A股,000729,gssz0000729,yjpj,燕京啤酒
A股,000731,gssz0000731,scmf,四川美丰
A股,000732,gssz0000732,stth,ST泰禾
A股,000733,gssz0000733,zhkj,振华科技
A股,000735,gssz0000735,lns,罗牛山
A股,000736,gssz0000736,zjdc,中交地产
A股,000737,gssz0000737,bfty,北方铜业
A股,000738,gssz0000738,hfkz,航发控制
A股,000739,gssz0000739,plyy,普洛药业
A股,000750,gssz0000750,ghzq,国海证券
